web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103833-76","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","HISTORIC OIL SUMMIT: Trump, JD & Rubio Face Tough Q&A on Russia, China, Venezuela, Iran & Cuba |AC1E","https://www.youtube.com/watch?v=aZknNmuSdAo&pp=ugUEEgJlbg%3D%3D"
"1768103833-77","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","California Governor Loses Control as Hundreds of Gas Stations Shut Down | Elizabeth Davis","https://www.youtube.com/watch?v=e-MgyB_Mmp0"
"1768103833-78","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","California Governor Responds After Thousands of Truckers Leave the State | Elizabeth Davis","https://www.youtube.com/watch?v=ey-Tpd3HdiY"
"1768103833-79","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","Greg Gutfeld: Walz always seems to be in a panic","https://www.youtube.com/watch?v=rWS-KLnNbG8"
"1768103833-80","https://www.youtube.com/user/FoxNewsChannel/videos","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0","China Can't Afford To Invade Taiwan. Here's Why","https://www.youtube.com/watch?v=6c57q9bIBPQ"
"1768103844-81","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","Tim Walz Exposed For Faking Financial Records In State Audit","https://www.youtube.com/watch?v=Louj7N3dKSw&pp=ugUEEgJlbg%3D%3D"
"1768103844-82","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","California Governor Responds After Thousands of Truckers Leave the State | Elizabeth Davis","https://www.youtube.com/watch?v=ey-Tpd3HdiY"
"1768103844-83","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","WATCH: Shouting match at Minnesota fraud hearing","https://www.youtube.com/watch?v=2-fDfWNwU4w"
"1768103844-84","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","Gavin Newsom sends capital SPRINTING out of California","https://www.youtube.com/watch?v=H29q5bjvs9A"
"1768103844-85","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","WATCH: JD Vance has a message for Jasmine Crockett...","https://www.youtube.com/watch?v=-k7em-PkgJk"
"1768103844-86","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","'STUNNER': NYC exodus grows as Mamdani's polices take hold","https://www.youtube.com/watch?v=kD93vokCCos"
"1768103844-87","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","ABC World News Tonight with David Muir Full Broadcast - January 10th, 2026","https://www.youtube.com/watch?v=Wo1i5ayMCO8"
"1768103844-88","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","Psaki, Maddow EVISCERATED over hypocritical’ pivot after Maduro capture","https://www.youtube.com/watch?v=DIwkl3XYb2I"
"1768103844-89","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","NEW ICE Agent POV Released | Full Legal Breakdown.","https://www.youtube.com/watch?v=bDda-L_ZOE8&pp=ugUEEgJlbg%3D%3D"
"1768103844-90","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","Vance takes decisive step to investigate potential fraud in key states","https://www.youtube.com/watch?v=O0A1V8BLwpo"
"1768103844-91","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","Harris Faulkner: We are behind on ALL of this...","https://www.youtube.com/watch?v=99xZtb81J_Y"
"1768103844-92","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","JUST IN: Woman who was shot worked with 'ICE Watch' group","https://www.youtube.com/watch?v=g3OcjqBPx78"
"1768103844-93","https://www.youtube.com/user/FoxNewsChannel/videos","'STOP LYING!': Hannity picks apart Dems' 'deception' about Minneapolis shooting","https://www.youtube.com/watch?v=HXw6xz6yP4E","What Does the Law Say About the ICE Shooting in Minnesota?","https://www.youtube.com/watch?v=Y04ndAPynMk&pp=ugUEEgJlbg%3D%3D"
